1998  3.0  2.6  2.1  1.8  1.7  0.0  0.1 -0.1 -0.7 -0.8 -0.5 -1.1
1999 -1.2 -0.7 -0.1 -0.4 -0.2 -0.6 -0.4 -0.6 -0.8 -1.0 -1.4 -1.5
2000 -1.6 -0.9 -0.3  0.2 -0.1 -0.4 -0.2 -0.1 -0.2 -0.3 -0.5 -0.5
2001 -0.3 -0.2  0.4  0.2  0.2  0.2  0.1  0.1 -0.4 -0.4 -0.4 -0.4
2002 -0.4  0.1  0.3  0.4  0.6  0.9  0.7  0.7  0.9  1.1  1.5  1.4
2003  0.8  0.6  0.1  0.0 -0.6 -0.2  0.4  0.3  0.2  0.6  0.6  0.6
2004  0.6  0.3  0.3  0.2  0.0  0.1  0.2  0.4  0.3  0.5  0.9  0.7
2005  0.4 -0.1  0.1  0.5  0.6  0.5  0.6  0.5 -0.2 -0.1 -0.6 -0.9
2006 -0.6 -0.2 -0.5  0.1  0.5  0.4  0.6  0.9  1.2  1.3  1.5  1.5
2007  1.1  0.2 -0.2 -0.2 -0.2 -0.2 -0.3 -0.6 -0.9 -1.1 -1.1 -1.3
2008 -1.2 -1.2 -0.4  0.0  0.4  0.4  0.9  1.0  0.5  0.2  0.3 -0.3
2009 -0.3 -0.4 -0.4  0.3  0.9  1.1  1.4  1.3  1.1  1.1  1.7  1.7
2010  1.3  1.0  0.9  1.0  0.5 -0.3 -0.4 -0.5 -0.9 -1.2 -1.1 -1.2
2011 -1.2 -0.6 -0.5  0.1  0.4  0.5  0.5  0.1 -0.3 -0.5 -0.7 -0.6
2012 -0.3  0.0  0.0  0.4  0.6  0.9  1.3  1.2  0.6  0.3  0.6  0.1
2013 -0.3 -0.3  0.3  0.2 -0.3 -0.4 -0.1 -0.2  0.1  0.1  0.3  0.2
2014 -0.1 -0.7  0.1  0.6  1.0  1.1  0.9  0.7  0.7  1.0  1.3  1.1
2015  0.5  0.3  0.3  1.1  1.7  2.0  2.5  2.7  2.9  3.0  3.3  3.2
2016  2.8  2.1  1.8  1.2  0.6  0.3  0.0  0.0  0.1 -0.1 -0.1 -0.1
2017 -0.9  0.7  0.7  0.9  1.0  0.6  0.7  0.3 -0.4 -0.2 -0.6 -0.9
2018 -0.9 -0.7 -0.6 -0.1  0.4 99.9 99.9 99.9 99.9 99.9 99.9 99.9
