"Month1" -1.85351567441118 -0.485302218124539
"Month2" -1.70607526952755 -0.472446017353397
"Month3" -1.46650975948755 -0.479701078995763
"Month4" -1.34767952499211 -0.526767947117656
"Month5" -1.46356250307515 -0.513836930226842
"Month6" -1.95462471751799 -0.531373024224386
"Month7" -2.23840057733513 -0.505564309723371
"Month8" -2.21584797306336 -0.38554141220268
"Month9" -1.95485753814087 -0.48971848637636
"Month10" -1.37608233980051 -0.529895661176986
"Month11" -1.3986478459226 -0.43463186177355
"Month12" -1.57464236592081 -0.45064450331392
