"Month1" -1.94908715191964 -0.473260858158988
"Month2" -1.81086013130873 -0.467199977940595
"Month3" -1.54445769736387 -0.483965463594385
"Month4" -1.3558593774577 -0.528607672144369
"Month5" -1.46539684874102 -0.50072379798335
"Month6" -1.93758937254027 -0.497946126486821
"Month7" -2.22427580228043 -0.443150346294987
"Month8" -2.19547392184812 -0.359960538386451
"Month9" -1.95938105278293 -0.486394095012357
"Month10" -1.36177326573169 -0.539851986351962
"Month11" -1.41481886194038 -0.41873088999394
"Month12" -1.62762902686952 -0.42841302459604
"deltaIndex" -0.311871460210743 -0.0741602102422486
