"(Intercept)" 1.47854290495127 -0.494375009525888
"Month2" 0.142998841281999 -0.0116470425263628
"Month3" 0.374761061958748 -0.0271771838913336
"Month4" 0.532197085346794 -0.0667884480565946
"Month5" 0.397946410313943 -0.0279089091887568
"Month6" -0.0578935377902846 -0.0200945752162335
"Month7" -0.276448105266387 -0.000255592861065399
"Month8" -0.279707206273783 0.110502164479391
"Month9" -0.0353839009607607 -0.0259529509836129
"Month10" 0.61444847313582 -0.103483781329279
"Month11" 0.566579180896664 0.0156542215014849
"Month12" 0.346000616092303 0.0234579702760329
"probNino" -0.641890886355037 0.00326485317705059
"probNina" -0.0188551459242916 0.152284551058496
