"Month1" 1.47854290495127 -0.494375009525885
"Month2" 1.62154174623327 -0.506022052052248
"Month3" 1.85330396691002 -0.52155219341722
"Month4" 2.01073999029806 -0.561163457582481
"Month5" 1.87648931526522 -0.522283918714643
"Month6" 1.42064936716099 -0.51446958474212
"Month7" 1.20209479968488 -0.494630602386952
"Month8" 1.19883569867749 -0.383872845046496
"Month9" 1.44315900399051 -0.520327960509499
"Month10" 2.09299137808709 -0.597858790855164
"Month11" 2.04512208584793 -0.478720788024401
"Month12" 1.82454352104357 -0.470917039249853
"probNino" -0.641890886355037 0.00326485317705074
"probNina" -0.0188551459242909 0.152284551058496
